Date : 2024-06-01 19:30:19
Directory : c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb
Total : 112 files,  10146 codes, 96 comments, 856 blanks, all 11098 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingSummary.jsx                                        | JavaScript JSX  |         78 |          0 |          9 |         87 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\Bookings.jsx                                              | JavaScript JSX  |         48 |          0 |          6 |         54 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\BookingsTable.jsx                                         | JavaScript JSX  |         73 |          0 |          5 |         78 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\Checkout.jsx                                              | JavaScript JSX  |         93 |          0 |          7 |        100 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\bookings\FindBooking.jsx                                           | JavaScript JSX  |        132 |          0 |         12 |        144 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\DateSlider.jsx                                              | JavaScript JSX  |         35 |          0 |          5 |         40 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\Header.jsx                                                  | JavaScript JSX  |         12 |          0 |          2 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\HotelService.jsx                                            | JavaScript JSX  |         94 |          0 |          4 |         98 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\Parallax.jsx                                                | JavaScript JSX  |         17 |          0 |          2 |         19 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomCarousel.jsx                                            | JavaScript JSX  |         69 |          0 |          6 |         75 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomFilter.jsx                                              | JavaScript JSX  |         40 |          0 |          5 |         45 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomPaginator.jsx                                           | JavaScript JSX  |         20 |          0 |          2 |         22 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomSearch.jsx                                              | JavaScript JSX  |        122 |          0 |         13 |        135 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomSearchResult.jsx                                        | JavaScript JSX  |         45 |          0 |          5 |         50 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomTypeSelector.jsx                                        | JavaScript JSX  |         67 |          0 |          6 |         73 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\home\Home.jsx                                                      | JavaScript JSX  |         29 |          0 |          2 |         31 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\Footer.jsx                                                  | JavaScript JSX  |         20 |          0 |          3 |         23 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\MainHeader.jsx                                              | JavaScript JSX  |         15 |          0 |          2 |         17 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\NavBar.jsx                                                  | JavaScript JSX  |         83 |          0 |         13 |         96 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\AddRoom.jsx                                                   | JavaScript JSX  |        133 |          0 |         15 |        148 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\EditRoom.jsx                                                  | JavaScript JSX  |        130 |          0 |         10 |        140 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\ExitsingRooms.jsx                                             | JavaScript JSX  |        136 |          0 |         16 |        152 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\Room.jsx                                                      | JavaScript JSX  |         71 |          0 |         10 |         81 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\RoomCard.jsx                                                  | JavaScript JSX  |         34 |          0 |          4 |         38 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\RoomListing.jsx                                               | JavaScript JSX  |         10 |          0 |          2 |         12 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\utils\ApiFunctions.jsx                                             | JavaScript JSX  |        192 |         17 |         23 |        232 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\index.css                                                                     | CSS             |        529 |         19 |        113 |        661 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\main.jsx                                                                      | JavaScript JSX  |          9 |          0 |          2 |         11 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\vite.config.js                                                                    | JavaScript      |          5 |          1 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\README.md                                                                                               | Markdown        |          1 |          0 |          1 |          2 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\.mvn\wrapper\maven-wrapper.properties                                                    | Java Properties |          2 |          0 |          1 |          3 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\mvnw.cmd                                                                                 | Batch           |        118 |         51 |         37 |        206 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\pom.xml                                                                                  | XML             |        106 |          0 |          6 |        112 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\LakeSideHotelApplication.java                 | Java            |          9 |          0 |          5 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\ServletInitializer.java                       | Java            |          9 |          0 |          5 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\AuthController.java                | Java            |         56 |          0 |          7 |         63 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\BookingController.java             | Java            |         87 |          0 |         10 |         97 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\DiscountController.java            | Java            |         58 |          0 |          8 |         66 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\HotelController.java               | Java            |         82 |          0 |          8 |         90 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\RatingController.java              | Java            |         11 |          0 |          3 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\RoleController.java                | Java            |         50 |          0 |         12 |         62 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\RoomController.java                | Java            |        130 |          0 |         14 |        144 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\UserController.java                | Java            |         45 |          0 |          6 |         51 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InternalServerException.java         | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InvalidBookingRequestException.java  | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InvalidDiscountRequestException.java | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InvalidHotelRequestException.java    | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\PhotoRetrievalExcetion.java          | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\ResourceNotFoundException.java       | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\RoleAlreadyExistException.java       | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\UserAlreadyExistsException.java      | Java            |          6 |          0 |          2 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\BookedRoom.java                         | Java            |         62 |          0 |         21 |         83 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Discount.java                           | Java            |         21 |          0 |          4 |         25 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Hotel.java                              | Java            |         31 |          0 |          7 |         38 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Rating.java                             | Java            |         25 |          0 |          6 |         31 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Role.java                               | Java            |         42 |          3 |          9 |         54 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Room.java                               | Java            |         50 |          0 |         11 |         61 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\User.java                               | Java            |         45 |          0 |          8 |         53 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\BookingRepository.java             | Java            |         10 |          0 |          6 |         16 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\DiscountRepository.java            | Java            |          5 |          0 |          4 |          9 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\HotelRepository.java               | Java            |         10 |          0 |          4 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\RatingRepository.java              | Java            |          5 |          0 |          3 |          8 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\RoleReponsitory.java               | Java            |          8 |          0 |          5 |         13 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\RoomRepository.java                | Java            |         18 |          0 |          5 |         23 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\UserRepository.java                | Java            |          9 |          0 |          5 |         14 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\request\LoginRequest.java                     | Java            |         10 |          0 |          3 |         13 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\response\BookingResponse.java                 | Java            |         41 |          0 |          6 |         47 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\response\DiscountResponse.java                | Java            |         13 |          0 |          4 |         17 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\response\HotelResponse.java                   | Java            |         30 |          0 |          5 |         35 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\response\JwtResponse.java                     | Java            |         19 |          0 |          5 |         24 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\response\RoomResponse.java                    | Java            |         31 |          1 |          7 |         39 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\CorsConfig.java                      | Java            |         42 |          0 |          6 |         48 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\WebSecurityConfig.java               | Java            |         68 |          1 |         11 |         80 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\jwt\AuthTokenFilter.java             | Java            |         50 |          0 |          5 |         55 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\jwt\JwtAuthEntryPoint.java           | Java            |         29 |          0 |          7 |         36 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\jwt\JwtUtils.java                    | Java            |         59 |          0 |          9 |         68 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\user\HotelUserDetails.java           | Java            |         61 |          0 |         10 |         71 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\security\user\HotelUserDetailsService.java    | Java            |         20 |          0 |          4 |         24 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\BookingService.java                   | Java            |         74 |          0 |         18 |         92 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\DiscountService.java                  | Java            |         37 |          0 |          8 |         45 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\HotelService.java                     | Java            |         82 |          0 |         14 |         96 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IBookingService.java                  | Java            |         11 |          0 |          9 |         20 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IDiscountService.java                 | Java            |         10 |          0 |          7 |         17 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IHotelService.java                    | Java            |         15 |          0 |         10 |         25 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IRatingService.java                   | Java            |          3 |          0 |          2 |          5 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IRoleService.java                     | Java            |         13 |          0 |          6 |         19 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IRoomService.java                     | Java            |         19 |          0 |         11 |         30 |
| c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\service\IUserService.java                     | Java            |         11 |          0 |          5 |         16 |
